REGNNUMB,SUBJCODE,SUBJUNCD,SUBJNAME,DEGRCODE,DEGRNAME,DELIVERY_MODE,CURRSEMS,INTNMARK,EXT_MARK,TOTAL,GRADE,TYPE,RES_STAT,UNIVERSITY,RESULT_SYSTEM
20241010001,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,28,30,58,B,CT-OL,PASS,AUCDE,CBCS
20241010001,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,21,58,79,A,CT-OL,PASS,AUCDE,CBCS
20241010001,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,25,45,70,A,CT-OL,PASS,AUCDE,CBCS
20241010001,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,29,65,94,O,CT-OL,PASS,AUCDE,CBCS
20241010001,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,27,60,87,A+,CT-OL,PASS,AUCDE,CBCS
20241010001,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,23,40,63,B+,CT-OL,PASS,AUCDE,CBCS
20241010001,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,22,31,53,B,CT-OL,PASS,AUCDE,CBCS
20241010002,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,24,49,73,A,CT-OL,PASS,AUCDE,CBCS
20241010002,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,26,50,76,A,CT-OL,PASS,AUCDE,CBCS
20241010002,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,19,31,50,B,CT-OL,PASS,AUCDE,CBCS
20241010002,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,19,53,72,A,CT-OL,PASS,AUCDE,CBCS
20241010002,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,27,50,77,A,CT-OL,PASS,AUCDE,CBCS
20241010002,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,24,48,72,A,CT-OL,PASS,AUCDE,CBCS
20241010002,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,18,67,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010003,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,26,59,85,A+,CT-OL,PASS,AUCDE,CBCS
20241010003,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,22,59,81,A+,CT-OL,PASS,AUCDE,CBCS
20241010003,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,21,31,52,B,CT-OL,PASS,AUCDE,CBCS
20241010003,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,26,60,86,A+,CT-OL,PASS,AUCDE,CBCS
20241010003,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010003,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,28,32,60,B+,CT-OL,PASS,AUCDE,CBCS
20241010003,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,19,35,54,B,CT-OL,PASS,AUCDE,CBCS
20241010004,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,20,64,84,A+,CT-OL,PASS,AUCDE,CBCS
20241010004,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,18,39,57,B,CT-OL,PASS,AUCDE,CBCS
20241010004,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,20,57,77,A,CT-OL,PASS,AUCDE,CBCS
20241010004,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,25,31,56,B,CT-OL,PASS,AUCDE,CBCS
20241010004,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,21,46,67,B+,CT-OL,PASS,AUCDE,CBCS
20241010004,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,20,41,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010004,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,27,63,90,O,CT-OL,PASS,AUCDE,CBCS
20241010005,50011,DBA5101,Management Concepts & Organizational Behaviour,501,MBA - Business Analytics (Online),ONLINE,1,22,39,61,B+,CT-OL,PASS,AUCDE,CBCS
20241010005,50012,DBA5102,Managerial Economics & Decision Making,501,MBA - Business Analytics (Online),ONLINE,1,,,,,CT-OL,CANCELLED,AUCDE,CBCS
20241010005,50013,DBA5103,Statistical Methods & Quantitative Techniques,501,MBA - Business Analytics (Online),ONLINE,1,28,64,92,O,CT-OL,PASS,AUCDE,CBCS
20241010005,50014,DBA5104,Financial & Management Accounting,501,MBA - Business Analytics (Online),ONLINE,1,27,64,91,O,CT-OL,PASS,AUCDE,CBCS
20241010005,50015,DBA5105,Legal Aspects of Business & Corporate Ethics,501,MBA - Business Analytics (Online),ONLINE,1,26,67,93,O,CT-OL,PASS,AUCDE,CBCS
20241010005,50016,DBA5106,Information Management & ERP Systems,501,MBA - Business Analytics (Online),ONLINE,1,25,66,91,O,CT-OL,PASS,AUCDE,CBCS
20241010005,50017,DBA5107,Business Communication & Soft Skills Laboratory,501,MBA - Business Analytics (Online),ONLINE,1,24,62,86,A+,CT-OL,PASS,AUCDE,CBCS
